candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,valid,conditioned_density_g_cm3,density_error,property_compliant
QGAN-032,Nd0.09 Mn0.25 Zn0.27 Cr0.39,FCC,7.825,8.097,1,8.06992709774643,0.027072902253570064,1
QGAN-033,Sc0.22 Nd0.10 Ti0.10 B0.11 Cu0.07 Pd0.26 Zn0.07 Li0.07,other,7.463,7.557,1,7.535042026701405,0.021957973298595057,1
QGAN-034,Ga0.08 Ni0.27 Mg0.27 Nb0.38,other,6.368,6.464,0,6.485141352510633,0.021141352510632316,1
QGAN-035,Mg0.11 C0.49 Ta0.40,other,8.377,7.917,1,7.889385734111342,0.027614265888657563,1
QGAN-036,C0.43 Ti0.14 Al0.43,other,8.721,8.534,1,8.486109565678799,0.04789043432120188,1
QGAN-037,Nb0.14 Si0.25 Sc0.62,BCC,6.107,6.21,1,6.237851750935603,0.02785175093560266,1
QGAN-038,W0.08 Hf0.07 Co0.22 Ta0.11 Zr0.07 Fe0.07 Si0.16 Ni0.22,other,7.178,7.402,1,7.363023781970029,0.038976218029970866,1
QGAN-039,Zn0.09 Nb0.09 Ni0.09 Ta0.41 Zr0.24 Mo0.09,FCC,7.945,7.869,1,7.789629314755831,0.0793706852441689,1
QGAN-040,Mg0.07 Nd0.07 Nb0.21 Ag0.07 Pd0.34 Co0.12 Cr0.12,FCC,7.679,7.777,1,7.7440478255992256,0.03295217440077458,1
QGAN-041,Li0.40 Sn0.09 Mn0.12 Re0.40,FCC,6.691,6.482,1,6.492811286579488,0.0108112865794876,1
QGAN-042,Ag0.09 Sn0.30 W0.08 Pd0.21 Re0.10 C0.23,BCC,6.211,6.137,1,6.093812606460465,0.043187393539534824,1
QGAN-043,Ti0.07 Ca0.09 Ga0.17 Y0.14 Cu0.23 Nb0.10 Ni0.07 W0.07 Li0.07,FCC,8.068,8.173,1,8.140760015028976,0.03223998497102443,1
QGAN-044,Fe0.38 Ag0.10 Co0.10 Sc0.43,other,7.283,7.291,1,7.2635348566433215,0.027465143356678823,1
QGAN-045,V0.06 Ca0.10 Zn0.06 C0.08 Cr0.06 Ga0.06 B0.18 Re0.33 Li0.06,BCC,7.317,7.603,1,7.509710278423797,0.09328972157620274,1
QGAN-046,Ca0.43 Nb0.14 C0.43,BCC,6.263,6.24,1,6.258954102774211,0.01895410277421039,1
QGAN-047,Nd0.41 Ag0.39 Ta0.11 W0.09,other,8.231,8.041,1,7.993465137999595,0.04753486200040502,1
QGAN-048,Y0.08 Pd0.08 Cu0.11 Mn0.31 B0.08 Zn0.26 W0.09,BCC,7.528,7.806,1,7.89584983302268,0.08984983302268024,1
QGAN-049,Zr0.42 Ga0.28 Nd0.10 Cu0.20,other,7.848,7.559,1,7.571333274949504,0.01233327494950398,1
QGAN-050,Zn0.11 Cr0.49 Ni0.22 B0.17,BCC,6.304,6.266,1,6.1727322426549085,0.09326775734509152,1
QGAN-051,Pd0.07 Fe0.32 Nd0.07 B0.11 Ag0.36 Ca0.07,BCC,5.874,6.053,1,6.035418883101576,0.01758111689842412,1
QGAN-052,Mg0.11 B0.29 Sc0.11 W0.49,BCC,8.273,8.296,1,8.346111183406157,0.05011118340615717,1
QGAN-053,Ti0.35 Nb0.30 Nd0.20 Cu0.15,FCC,8.744,8.59,1,8.564640839973016,0.025359160026983574,1
QGAN-054,Mn0.41 Mg0.09 Ag0.41 Cu0.09,FCC,5.966,6.304,1,6.299196829158615,0.0048031708413853735,1
QGAN-055,Zn0.36 Fe0.10 Co0.17 Re0.07 Si0.07 Pd0.23,FCC,7.526,7.546,1,7.5096851078740405,0.03631489212595973,1
QGAN-056,Mn0.07 Co0.07 Sn0.07 Hf0.29 Mg0.27 Re0.23,FCC,6.988,6.696,1,6.658323782902938,0.03767621709706148,1
QGAN-057,Zn0.09 Re0.07 Mg0.10 Ag0.07 Nb0.17 Mo0.07 Zr0.36 Ca0.07,BCC,7.283,7.62,1,7.649830693420986,0.029830693420985988,1
QGAN-058,Hf0.07 Fe0.20 Nb0.07 Zn0.07 Ag0.38 Mo0.07 Sc0.07 Ca0.07,BCC,8.772,8.922,1,8.88270601770319,0.039293982296809915,1
QGAN-059,Ga0.07 Hf0.28 W0.20 Ti0.07 Pd0.15 Nd0.08 Mo0.08 B0.07,BCC,7.661,7.503,1,7.534581936470941,0.031581936470940875,1
QGAN-060,Ti0.38 Pd0.22 Re0.40,other,6.475,6.418,1,6.372524014900556,0.045475985099444394,1
QGAN-061,Ag0.07 Nb0.13 Ga0.28 Nd0.19 Ca0.07 V0.11 Fe0.07 B0.07,FCC,8.325,8.348,1,8.275782525076206,0.07221747492379471,1
QGAN-062,V0.07 Mg0.08 Li0.24 Mo0.13 Fe0.18 Ga0.07 Si0.15 Mn0.07,FCC,8.264,8.503,1,8.478393006324136,0.02460699367586372,1
QGAN-063,Mn0.07 Pd0.07 Sn0.32 Ti0.07 Li0.18 Cr0.21 V0.08,other,7.262,7.159,1,7.137909253839075,0.0210907461609251,1
QGAN-064,Y0.07 Co0.08 Al0.26 Mn0.19 C0.07 V0.07 Sc0.07 Ga0.19,other,8.492,8.293,1,8.241569109562667,0.05143089043733262,1
QGAN-065,Y0.19 Cr0.31 V0.50,BCC,6.571,6.722,1,6.731532061581571,0.009532061581570161,1
QGAN-066,Ga0.08 Al0.19 Ni0.08 Re0.40 C0.11 Ag0.08 V0.08,BCC,7.401,7.24,0,7.226417465844119,0.013582534155880843,1
QGAN-067,Nd0.23 W0.28 Co0.11 Mg0.19 Re0.18,other,8.715,8.544,1,8.526982045042326,0.017017954957674775,1
QGAN-068,Zn0.09 Ag0.23 Sn0.25 Cr0.42,BCC,7.213,7.207,1,7.179284732471495,0.02771526752850484,1
QGAN-069,Y0.07 Fe0.31 Mo0.28 W0.26 Cu0.07,FCC,6.736,6.52,1,6.557029197071041,0.037029197071041686,1
QGAN-070,Zr0.07 Zn0.24 Pd0.21 Nd0.07 Sc0.19 Cu0.07 Ni0.08 Ta0.07,FCC,6.236,6.242,1,6.257893018223812,0.01589301822381195,1
QGAN-071,Nb0.39 Al0.39 Nd0.21,BCC,7.3,6.946,1,6.946915140817337,0.0009151408173373454,1
QGAN-072,Fe0.44 W0.09 C0.09 Ti0.26 Zn0.11,other,6.361,6.267,1,6.290601323988814,0.02360132398881376,1
QGAN-073,C0.07 Ni0.17 Li0.07 Mo0.07 B0.37 Ta0.17 Cu0.07,FCC,7.402,7.019,1,7.01552820408903,0.0034717959109702434,1
QGAN-074,Co0.17 Ca0.21 Hf0.18 Cr0.08 Ti0.21 Mg0.08 Y0.08,FCC,6.536,6.282,1,6.252006987707804,0.029993012292195864,1
QGAN-075,Zr0.07 W0.09 Y0.07 Ta0.21 Ca0.16 Re0.07 C0.33,other,7.112,7.253,1,7.200023161868454,0.05297683813154652,1
QGAN-076,Mn0.13 Ni0.07 Ga0.07 Cu0.20 Zn0.25 Cr0.09 Mo0.07 Nd0.07 Hf0.07,other,8.329,8.157,1,8.219000512526142,0.062000512526141804,1
QGAN-077,Pd0.10 Re0.10 Sc0.19 Fe0.50 Ta0.11,FCC,7.047,7.081,1,7.0571833943575095,0.023816605642490885,1
QGAN-078,Ta0.08 Ca0.23 Pd0.09 W0.08 Sn0.08 Ga0.08 Si0.38,BCC,6.491,6.382,1,6.384347763068484,0.0023477630684842765,1
QGAN-079,Ga0.19 Al0.19 Y0.08 Li0.08 Zn0.37 Si0.09,BCC,7.771,7.594,1,7.60940855278028,0.015408552780280083,1
QGAN-080,Ga0.07 Cr0.07 Co0.07 Cu0.07 V0.35 Mo0.07 Zr0.19 Al0.12,FCC,7.957,8.029,1,7.999664395178372,0.029335604821628003,1
QGAN-081,C0.12 Mn0.13 Ti0.17 Nb0.15 Mo0.36 Cr0.08,FCC,8.399,8.5,0,8.475210491971179,0.02478950802882096,1
QGAN-082,Al0.08 C0.10 Nb0.10 Mo0.10 Co0.38 Mg0.24,BCC,8.008,7.824,1,7.833522078827755,0.009522078827755465,1
QGAN-083,Hf0.15 Co0.07 Ga0.11 Li0.11 Fe0.24 Cr0.10 Re0.08 Ta0.07 W0.07,other,6.354,6.463,1,6.544017780397887,0.08101778039788687,1
QGAN-084,Zr0.34 C0.09 Ni0.08 Y0.14 Ti0.35,FCC,7.658,7.771,1,7.8438618061857985,0.07286180618579863,1
QGAN-085,Mg0.09 Ta0.30 W0.17 Co0.08 V0.35,other,7.328,7.593,1,7.497631990743302,0.0953680092566982,1
QGAN-086,Zn0.10 Cu0.10 Sn0.10 W0.48 Cr0.12 Fe0.10,other,7.817,7.821,1,7.887514803981208,0.06651480398120846,1
QGAN-087,Co0.38 V0.20 Mo0.09 W0.08 Y0.09 Fe0.08 Ni0.08,BCC,6.198,6.118,1,6.138672343807201,0.020672343807200733,1
QGAN-088,V0.22 Re0.39 Ni0.39,other,8.105,7.688,1,7.625265469800572,0.06273453019942732,1
QGAN-089,Al0.52 Li0.11 Ta0.37,other,8.056,8.288,1,8.152543094864127,0.13545690513587338,1
QGAN-090,Mn0.13 Sn0.08 Ca0.14 C0.14 Y0.10 Nd0.14 Pd0.18 Co0.09,BCC,6.102,6.266,1,6.271470029370738,0.005470029370737706,1
QGAN-091,Y0.19 Ta0.31 Ti0.08 Re0.27 C0.08 Ca0.08,other,6.673,6.678,1,6.633644844561975,0.044355155438024596,1
QGAN-092,Ag0.37 Re0.36 Hf0.27,BCC,6.641,6.815,1,6.807366863429087,0.007633136570913024,1
QGAN-093,Sc0.57 Mo0.23 Cr0.20,BCC,8.766,8.809,1,8.930620313789479,0.1216203137894798,1
QGAN-094,Co0.11 Si0.45 Al0.16 Pd0.13 Nb0.14,FCC,6.346,6.627,0,6.682788703833344,0.05578870383334422,1
QGAN-095,Nd0.07 V0.35 Pd0.19 W0.26 B0.07 Li0.07,FCC,7.717,8.001,1,7.982802722442297,0.01819727755770284,1
QGAN-096,Cr0.11 Ni0.36 V0.53,FCC,7.192,7.365,1,7.320873725536101,0.04412627446389905,1
QGAN-097,Mg0.31 Y0.31 Re0.13 Cu0.10 Ni0.08 B0.08,FCC,6.541,6.685,0,6.8085892365963225,0.12358923659632293,1
QGAN-098,Ta0.09 Sc0.42 B0.12 Mn0.37,other,6.716,6.492,0,6.416228360027391,0.07577163997260872,1
QGAN-099,Sn0.06 B0.06 C0.06 Cr0.06 Ga0.06 Nb0.06 Zr0.16 Li0.34 Pd0.13,FCC,8.665,8.561,1,8.595101207703838,0.034101207703837844,1
QGAN-100,Ga0.08 Mn0.08 Ta0.08 Nd0.20 Y0.37 Cr0.19,BCC,8.793,8.566,0,8.511954543213081,0.05404545678691974,1
QGAN-101,Mn0.23 Ni0.35 Pd0.07 Ag0.07 V0.07 Ti0.21,FCC,6.897,6.827,1,6.815854377997319,0.011145622002681321,1
QGAN-102,Si0.33 Mn0.27 B0.40,BCC,7.003,6.847,1,6.9263378242109255,0.07933782421092506,1
QGAN-103,Al0.12 Zr0.14 Si0.07 Ta0.16 Co0.07 Pd0.07 Ag0.07 Y0.07 W0.24,FCC,7.117,7.175,1,7.1466882634993505,0.02831173650064933,1
QGAN-104,Mn0.10 Ag0.13 Hf0.07 V0.07 Mg0.18 Al0.13 Re0.32,other,8.555,8.263,1,8.18242575632426,0.08057424367573951,1
QGAN-105,Mg0.19 Cr0.15 Ti0.66,FCC,6.022,6.366,1,6.346664418258101,0.019335581741898977,1
QGAN-106,Ca0.08 Sc0.35 Mn0.21 Ga0.36,BCC,6.303,6.293,1,6.298194416369182,0.005194416369182164,1
QGAN-107,Sn0.07 Zr0.11 Re0.10 Ta0.20 Ni0.27 Al0.07 Cr0.13 V0.07,FCC,8.231,7.647,1,7.62113475075502,0.02586524924498068,1
QGAN-108,Ga0.08 Cu0.08 V0.08 Zr0.09 Mo0.42 Ti0.08 Mg0.11 Pd0.08,BCC,8.866,8.912,1,8.883619719537993,0.02838028046200769,1
QGAN-109,W0.21 Ti0.11 Ag0.08 Mo0.14 C0.18 Zr0.21 Ca0.08,BCC,7.506,7.691,1,7.759366036072649,0.06836603607264902,1
QGAN-110,Ca0.32 Ni0.55 Y0.13,FCC,8.013,8.017,1,7.997183350792517,0.01981664920748205,1
QGAN-111,Li0.18 Ni0.08 Nb0.30 Zr0.29 Al0.15,other,6.964,6.999,0,7.030761991799581,0.0317619917995815,1
QGAN-112,Li0.08 Sn0.39 Ca0.13 Al0.39,BCC,7.913,7.914,1,7.866707255845618,0.04729274415438134,1
QGAN-113,V0.18 Mn0.35 Li0.28 Ga0.19,FCC,6.586,6.331,1,6.408792613006894,0.07779261300689377,1
QGAN-114,Al0.07 Ni0.20 Cu0.12 Y0.19 B0.20 Co0.14 V0.07,FCC,7.926,7.832,1,7.871320039648,0.03932003964800046,1
QGAN-115,Pd0.08 Hf0.12 Si0.08 Fe0.09 C0.10 Cr0.14 W0.38,FCC,7.53,7.716,1,7.678167541697872,0.03783245830212856,1
QGAN-116,Nb0.14 C0.19 Zr0.36 Mn0.19 Re0.12,BCC,8.391,8.572,1,8.52152518561088,0.05047481438911916,1
QGAN-117,Cu0.07 Zr0.07 Zn0.07 C0.12 Sn0.07 Co0.25 Ca0.35,FCC,7.979,7.637,1,7.650279332675453,0.013279332675453226,1
QGAN-118,Ca0.19 Nd0.15 Fe0.66,other,7.52,7.278,0,7.298089489002504,0.020089489002504735,1
QGAN-119,Sc0.25 Mn0.16 Al0.17 Si0.10 Hf0.11 Ag0.07 Ta0.07 Cu0.07,other,9.426,8.875,1,8.904759126738876,0.029759126738875707,1
QGAN-120,Ta0.25 Fe0.43 Sn0.32,FCC,7.442,7.246,1,7.282162438709051,0.03616243870905045,1
QGAN-121,Pd0.07 Y0.08 Li0.29 Nb0.16 Re0.07 V0.20 Fe0.07 Ca0.07,FCC,8.364,8.293,1,8.316819881433924,0.02381988143392455,1
QGAN-122,Si0.09 Mn0.40 Ag0.40 Li0.11,BCC,8.552,8.413,1,8.443101320509117,0.03010132050911629,1
QGAN-123,Pd0.45 Cu0.09 Nd0.29 Mg0.09 Al0.09,BCC,7.68,7.361,1,7.3093073466617025,0.05169265333829731,1
QGAN-124,Cr0.09 Fe0.08 Y0.08 Si0.29 W0.09 Ag0.08 Mo0.13 Pd0.17,FCC,6.255,6.376,1,6.479818455756431,0.10381845575643034,1
QGAN-125,Ca0.25 Ag0.62 W0.14,BCC,6.216,6.343,1,6.417592440008169,0.07459244000816945,1
QGAN-126,Nb0.21 Ag0.39 Sc0.12 Fe0.12 V0.08 B0.08,BCC,8.689,8.626,1,8.585512832039994,0.04048716796000562,1
QGAN-127,Co0.26 Mn0.20 Hf0.28 Re0.26,other,6.344,6.351,1,6.42305303970938,0.07205303970938015,1
QGAN-128,Ag0.18 Hf0.14 B0.42 Al0.25,other,7.321,7.73,1,7.714094593126255,0.01590540687374542,1
QGAN-129,Nb0.07 Pd0.07 Ta0.21 W0.21 Cu0.07 Si0.19 Zr0.11 Co0.07,BCC,6.206,6.019,1,5.936631409458571,0.08236859054142887,1
QGAN-130,W0.08 Co0.08 Fe0.22 V0.16 Ga0.39 Y0.08,BCC,5.764,6.075,1,6.035530263541671,0.03946973645832941,1
QGAN-131,C0.12 B0.07 Y0.11 Si0.07 Al0.07 Fe0.07 Co0.23 Nb0.08 Pd0.19,FCC,6.736,6.796,1,6.772887067735105,0.02311293226489486,1
QGAN-132,Li0.11 Y0.47 Ni0.42,other,6.936,7.03,0,7.049973065111062,0.019973065111061672,1
QGAN-133,Nd0.26 Cr0.08 V0.16 Zr0.25 Ag0.08 Sc0.18,BCC,6.654,6.885,0,6.913277428221472,0.02827742822147261,1
QGAN-134,Cr0.08 V0.07 Ga0.19 Hf0.07 Zr0.11 W0.07 Ta0.08 Pd0.26 Li0.07,other,6.714,6.762,1,6.771552654691804,0.009552654691804108,1
QGAN-135,Re0.07 Mn0.07 B0.31 C0.16 Y0.07 Sc0.25 Si0.08,other,7.767,7.733,1,7.698332036126397,0.034667963873602936,1
QGAN-136,C0.27 Al0.07 Fe0.27 Cr0.11 Mn0.08 Zr0.07 Hf0.07 Ca0.07,other,6.516,6.484,0,6.428416315739795,0.055583684260205324,1
QGAN-137,W0.26 V0.31 Co0.43,FCC,7.985,7.974,0,7.9768865524583035,0.002886552458303271,1
QGAN-138,Ti0.13 Co0.07 Ga0.11 Ag0.07 Ca0.13 Li0.17 Re0.07 Ta0.17 Nd0.07,FCC,8.141,8.534,1,8.605939835646295,0.07193983564629391,1
QGAN-139,Si0.07 Mg0.08 Li0.07 Al0.12 Y0.38 Cr0.07 Sc0.07 V0.07 Ta0.07,FCC,6.371,6.594,1,6.578007544299907,0.015992455700093444,1
QGAN-140,Co0.36 Ag0.45 Hf0.09 W0.09,other,8.577,8.605,1,8.681089844102209,0.0760898441022082,1
QGAN-141,Ag0.26 Cu0.07 Mg0.09 Ca0.07 Zr0.07 V0.20 Ta0.18 Fe0.07,other,6.826,6.678,0,6.699778895147028,0.02177889514702791,1
QGAN-142,Ag0.14 Ni0.23 Pd0.08 Fe0.09 Co0.07 Zr0.07 Al0.31,FCC,7.97,7.755,1,7.821606863268557,0.06660686326855725,1
QGAN-143,Sc0.10 Cu0.52 Li0.10 Ag0.13 B0.15,other,6.236,6.352,1,6.335439313576007,0.01656068642399333,1
QGAN-144,Fe0.35 Mg0.46 Zn0.10 Li0.10,BCC,8.413,8.296,1,8.272919875988153,0.023080124011846337,1
QGAN-145,Mn0.07 Cr0.18 Ta0.35 Re0.07 Mo0.25 Zr0.08,FCC,7.356,7.436,1,7.380259123797455,0.05574087620254531,1
QGAN-146,B0.27 Ni0.12 W0.45 Mo0.15,BCC,6.23,6.43,1,6.423642883751691,0.006357116248309147,1
QGAN-147,Ga0.16 Li0.24 Al0.07 Nd0.07 Fe0.07 Sc0.21 V0.10 Mn0.07,BCC,7.104,6.896,1,7.010109549958868,0.1141095499588678,1
QGAN-148,Li0.33 Ga0.08 Hf0.08 V0.15 Nb0.36,other,7.636,7.748,1,7.7122855616211305,0.03571443837886967,1
QGAN-149,Y0.06 Hf0.06 Si0.06 Zn0.10 Sn0.19 Ti0.06 Mo0.06 Ga0.34 V0.06,BCC,7.638,7.435,1,7.433783658424516,0.0012163415754837814,1
