iteration,request_id,candidate_id,composition,phase,predicted_density_g_cm3,target_density_g_cm3,conditioned_density_g_cm3,density_error,status,attempts,latency_s,latest_attempt_latency_s,total_energy_eV,formation_energy_eV,max_force_eV_A,strain_evaluations,output_dir,started_at,completed_at,valid_flag
3,REALCAM-I03-C03,QGAN-054,Mn0.41 Mg0.09 Ag0.41 Cu0.09,FCC,5.966,6.304,6.299196829158615,0.0048031708413853,completed,1,1135.5938039384782,1135.592941429466,-23699.669140359234,-2962.4586425449043,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I03-C03,2025-10-25T20:29:01.890251Z,2025-10-25T20:47:57.484055Z,1
3,REALCAM-I03-C04,QGAN-106,Ca0.08 Sc0.35 Mn0.21 Ga0.36,BCC,6.303,6.293,6.298194416369182,0.0051944163691821,completed,1,4305.13949570246,4305.138752879575,-23699.669140359234,-2962.4586425449043,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I03-C04,2025-10-25T20:29:01.890621Z,2025-10-25T21:40:47.030117Z,1
4,REALCAM-I04-C01,QGAN-090,Mn0.13 Sn0.08 Ca0.14 C0.14 Y0.10 Nd0.14 Pd0.18 Co0.09,BCC,6.102,6.266,6.271470029370738,0.0054700293707377,completed,1,514.2455126950517,514.2452451102436,-21648.244932322017,-2706.030616540252,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I04-C01,2025-10-25T21:40:47.518628Z,2025-10-25T21:49:21.764141Z,1
4,REALCAM-I04-C02,QGAN-146,B0.27 Ni0.12 W0.45 Mo0.15,BCC,6.23,6.43,6.423642883751691,0.0063571162483091,completed,1,2161.6230510082096,2161.622162510641,-21648.244932322017,-2706.030616540252,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I04-C02,2025-10-25T21:40:47.518865Z,2025-10-25T22:16:49.141917Z,1
4,REALCAM-I04-C03,QGAN-014,Hf0.28 Ga0.35 Ag0.36,BCC,8.366,8.369,8.376232840584038,0.007232840584038,completed,1,2816.7008434133604,2816.7000596839935,-21648.244932322017,-2706.030616540252,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I04-C03,2025-10-25T21:40:47.519275Z,2025-10-25T22:27:44.220119Z,1
4,REALCAM-I04-C04,QGAN-003,Al0.09 Sn0.08 Co0.34 Nb0.11 Mg0.14 Zr0.25,FCC,8.12,7.873,7.88039516511877,0.00739516511877,completed,1,1328.8154972624034,1328.8147666342556,-21648.244932322017,-2706.030616540252,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I04-C04,2025-10-25T21:40:47.519670Z,2025-10-25T22:02:56.335161Z,1
5,REALCAM-I05-C01,QGAN-092,Ag0.37 Re0.36 Hf0.27,BCC,6.641,6.815,6.807366863429087,0.007633136570913,completed,1,824.1401241188869,824.1397145260125,-22830.79544810092,-2853.849431012615,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I05-C01,2025-10-25T22:27:44.839141Z,2025-10-25T22:41:28.979265Z,1
5,REALCAM-I05-C02,QGAN-021,Mg0.09 C0.37 Cu0.37 Sn0.08 B0.08,BCC,7.064,7.111,7.101732763931993,0.0092672360680063,completed,1,3252.0499613517895,3252.0493812672794,-22830.79544810092,-2853.849431012615,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I05-C02,2025-10-25T22:27:44.839329Z,2025-10-25T23:21:56.889292Z,1
5,REALCAM-I05-C03,QGAN-082,Al0.08 C0.10 Nb0.10 Mo0.10 Co0.38 Mg0.24,BCC,8.008,7.824,7.833522078827755,0.0095220788277554,completed,1,1618.7448340430856,1618.744221687317,-22830.79544810092,-2853.849431012615,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I05-C03,2025-10-25T22:27:44.839524Z,2025-10-25T22:54:43.584358Z,1
5,REALCAM-I05-C04,QGAN-065,Y0.19 Cr0.31 V0.50,BCC,6.571,6.722,6.731532061581571,0.0095320615815701,completed,1,2540.1682456145063,2540.1676559913903,-22830.79544810092,-2853.849431012615,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I05-C04,2025-10-25T22:27:44.839743Z,2025-10-25T23:10:05.007990Z,1
6,REALCAM-I06-C01,QGAN-134,Cr0.08 V0.07 Ga0.19 Hf0.07 Zr0.11 W0.07 Ta0.08 Pd0.26 Li0.07,other,6.714,6.762,6.771552654691804,0.0095526546918041,completed,1,2138.4581350591034,2138.457788022235,-23264.667082630156,-2908.0833853287695,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I06-C01,2025-10-25T23:21:57.694935Z,2025-10-25T23:57:36.153070Z,1
6,REALCAM-I06-C02,QGAN-041,Li0.40 Sn0.09 Mn0.12 Re0.40,FCC,6.691,6.482,6.492811286579488,0.0108112865794876,completed,1,3462.300634706393,3462.3001239625737,-23264.667082630156,-2908.0833853287695,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I06-C02,2025-10-25T23:21:57.695101Z,2025-10-26T00:19:39.995736Z,1
6,REALCAM-I06-C03,QGAN-101,Mn0.23 Ni0.35 Pd0.07 Ag0.07 V0.07 Ti0.21,FCC,6.897,6.827,6.815854377997319,0.0111456220026813,completed,1,4994.291801580228,4994.291214792989,-23264.667082630156,-2908.0833853287695,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I06-C03,2025-10-25T23:21:57.695255Z,2025-10-26T00:45:11.987057Z,1
6,REALCAM-I06-C04,QGAN-049,Zr0.42 Ga0.28 Nd0.10 Cu0.20,other,7.848,7.559,7.571333274949504,0.0123332749495039,completed,1,6756.995448903181,6756.994861584157,-23264.667082630156,-2908.0833853287695,0.0,0,/scratch/zt1/project/hpcintro/user/otailor/projects/Generative_QML/data/dft_workflow/REALCAM-I06-C04,2025-10-25T23:21:57.695472Z,2025-10-26T01:14:34.690921Z,1
